,over_draft,credit_usage,credit_history,purpose,current_balance,Average_Credit_Balance,employment,gender,other_parties,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
244,unchecked,12,all paid,retraining,3447,below_1000,employed,female,none,real estate,35,none,own,1,unskilled,2,none,yes,good
245,unchecked,24,all paid,business,1258,below_100,employed,male,none,real estate,25,none,own,1,skilled,1,yes,yes,good
246,unchecked,12,critical,radio/tv,717,below_100,employed,male,none,real estate,52,none,own,3,skilled,1,none,yes,good
247,unchecked,6,all paid,new car,1204,below_500,employed,male,none,no known property,35,bank,rent,1,skilled,1,none,no,good
248,yes,24,all paid,furniture/equipment,1925,below_100,employed,male,none,real estate,26,none,own,1,skilled,1,none,yes,good
249,unchecked,18,all paid,radio/tv,433,below_100,unemployed,female,co applicant,real estate,22,none,rent,1,skilled,1,none,yes,bad
250,no,6,critical,new car,666,above_1000,employed,female,none,real estate,39,none,own,2,unskilled,1,yes,yes,good
251,yes,12,all paid,furniture/equipment,2251,below_100,employed,female,none,car,46,none,own,1,unskilled,1,none,yes,good
252,no,30,all paid,new car,2150,below_100,employed,female,guarantor,no known property,24,bank,own,1,skilled,1,none,yes,bad
253,unchecked,24,delayed,furniture/equipment,4151,below_500,employed,male,none,life insurance,35,none,own,2,skilled,1,none,yes,good
254,no,9,all paid,furniture/equipment,2030,no_savings,employed,male,none,car,24,none,own,1,skilled,1,yes,yes,good
255,no,60,delayed,radio/tv,7418,no_savings,employed,male,none,real estate,27,none,own,1,unskilled,1,none,yes,good
256,unchecked,24,critical,radio/tv,2684,below_100,employed,male,none,real estate,35,none,own,2,unskilled,1,none,yes,good
257,no,12,all paid,radio/tv,2149,below_100,employed,male,none,no known property,29,none,for free,1,skilled,1,none,yes,bad
258,unchecked,15,all paid,used car,3812,below_500,unemployed,female,none,car,23,none,own,1,skilled,1,yes,yes,good
259,unchecked,11,critical,radio/tv,1154,below_500,unemployed,female,none,real estate,57,none,own,3,unskilled,1,none,yes,good
260,no,12,all paid,furniture/equipment,1657,below_100,employed,male,none,real estate,27,none,own,1,skilled,1,none,yes,good
261,no,24,all paid,radio/tv,1603,below_100,employed,female,none,car,55,none,own,1,skilled,1,none,yes,good
262,no,18,critical,new car,5302,below_100,employed,male,none,no known property,36,none,for free,3,self_employed,1,yes,yes,good
263,unchecked,12,critical,education,2748,below_100,employed,female,none,no known property,57,bank,for free,3,unskilled,1,none,yes,good
264,unchecked,10,critical,new car,1231,below_100,employed,male,none,real estate,32,none,own,2,unskilled,2,none,no,good
265,no,15,all paid,radio/tv,802,below_100,employed,male,none,car,37,none,own,1,skilled,2,none,yes,bad
266,unchecked,36,critical,business,6304,no_savings,employed,male,none,real estate,36,none,own,2,skilled,1,none,yes,good
267,unchecked,24,all paid,radio/tv,1533,below_100,unemployed,female,none,car,38,stores,own,1,skilled,1,yes,yes,good
268,no,14,all paid,new car,8978,below_100,employed,male,none,life insurance,45,none,own,1,self_employed,1,yes,no,bad
269,unchecked,24,all paid,radio/tv,999,no_savings,employed,male,none,car,25,none,own,2,skilled,1,none,yes,good
270,unchecked,18,all paid,new car,2662,no_savings,employed,male,none,life insurance,32,none,own,1,skilled,1,none,no,good
271,unchecked,12,critical,furniture/equipment,1402,below_1000,employed,female,none,car,37,none,rent,1,skilled,1,yes,yes,good
272,no,48,all paid,new car,12169,no_savings,unemployed,male,co applicant,no known property,36,none,for free,1,self_employed,1,yes,yes,good
273,no,48,all paid,radio/tv,3060,below_100,employed,male,none,real estate,28,none,own,2,skilled,1,none,yes,bad
274,no,30,all paid,repairs,11998,below_100,unemployed,male,none,no known property,34,none,own,1,unskilled,1,yes,yes,bad
275,unchecked,9,all paid,radio/tv,2697,below_100,employed,male,none,real estate,32,none,own,1,skilled,2,none,yes,good
276,unchecked,18,critical,radio/tv,2404,below_100,employed,female,none,car,26,none,own,2,skilled,1,none,yes,good
277,no,12,all paid,furniture/equipment,1262,no_savings,employed,male,none,life insurance,49,none,own,1,unskilled,1,yes,yes,good
278,unchecked,6,all paid,furniture/equipment,4611,below_100,unemployed,female,none,life insurance,32,none,own,1,skilled,1,none,yes,bad
279,unchecked,24,all paid,radio/tv,1901,below_500,employed,male,none,car,29,none,rent,1,self_employed,1,yes,yes,good
280,unchecked,15,critical,used car,3368,above_1000,employed,male,none,no known property,23,none,rent,2,skilled,1,yes,yes,good
281,unchecked,12,all paid,furniture/equipment,1574,below_100,employed,male,none,real estate,50,none,own,1,skilled,1,none,yes,good
282,yes,18,all paid,radio/tv,1445,no_savings,employed,male,none,car,49,bank,own,1,unskilled,1,none,yes,good
283,unchecked,15,critical,furniture/equipment,1520,no_savings,employed,male,none,life insurance,63,none,own,1,skilled,1,none,yes,good
284,no,24,critical,new car,3878,below_500,unemployed,male,none,car,37,none,own,1,skilled,1,yes,yes,good
285,no,47,all paid,new car,10722,below_100,unemployed,female,none,real estate,35,none,own,1,unskilled,1,yes,yes,good
286,no,48,all paid,used car,4788,below_100,employed,male,none,life insurance,26,none,own,1,skilled,2,none,yes,good
287,no,48,delayed,other,7582,below_500,unemployed,male,none,no known property,31,none,for free,1,self_employed,1,yes,yes,good
288,no,12,all paid,radio/tv,1092,below_100,employed,female,guarantor,real estate,49,none,own,2,skilled,1,yes,yes,good
289,no,24,delayed,radio/tv,1024,below_100,unemployed,male,none,real estate,48,stores,own,1,skilled,1,none,yes,bad
290,unchecked,12,all paid,business,1076,below_100,employed,male,none,real estate,26,none,own,1,skilled,1,yes,no,good
291,no,36,all paid,used car,9398,below_100,unemployed,male,none,car,28,none,rent,1,self_employed,1,yes,yes,bad
292,no,24,critical,used car,6419,below_100,employed,female,none,no known property,44,none,for free,2,self_employed,2,yes,yes,good
293,yes,42,critical,used car,4796,below_100,employed,male,none,no known property,56,none,for free,1,skilled,1,none,yes,good
294,unchecked,48,critical,business,7629,no_savings,employed,male,none,car,46,bank,own,2,self_employed,2,none,yes,good
295,no,48,all paid,furniture/equipment,9960,below_100,unemployed,female,none,car,26,none,own,1,skilled,1,yes,yes,bad
296,unchecked,12,all paid,used car,4675,no_savings,unemployed,female,none,car,20,none,rent,1,skilled,1,none,yes,good
297,unchecked,10,all paid,new car,1287,no_savings,employed,male,co applicant,life insurance,45,none,own,1,unskilled,1,none,no,good
298,unchecked,18,all paid,furniture/equipment,2515,below_100,employed,male,none,real estate,43,none,own,1,skilled,1,yes,yes,good
299,no,21,critical,furniture/equipment,2745,above_1000,employed,male,none,car,32,none,own,2,skilled,1,yes,yes,good
300,unchecked,6,all paid,new car,672,below_100,unemployed,female,none,real estate,54,none,own,1,unemeployed,1,yes,yes,good
301,no,36,all paid,radio/tv,3804,below_100,employed,female,none,car,42,none,own,1,skilled,1,yes,yes,bad
302,yes,24,critical,new car,1344,no_savings,employed,male,none,real estate,37,bank,own,2,unskilled,2,none,yes,bad
303,no,10,critical,new car,1038,below_100,employed,male,co applicant,life insurance,49,none,own,2,skilled,1,yes,yes,good
304,unchecked,48,critical,new car,10127,below_1000,employed,male,none,no known property,44,bank,for free,1,skilled,1,none,yes,bad
305,unchecked,6,all paid,furniture/equipment,1543,above_1000,employed,male,none,real estate,33,none,own,1,skilled,1,none,yes,good
306,unchecked,30,all paid,used car,4811,no_savings,employed,female,none,life insurance,24,stores,rent,1,unskilled,1,none,yes,good
307,no,12,all paid,radio/tv,727,below_500,unemployed,male,none,no known property,33,none,own,1,unskilled,1,yes,yes,bad
308,no,8,all paid,furniture/equipment,1237,below_100,employed,female,none,real estate,24,none,own,1,skilled,1,none,yes,bad
309,no,9,all paid,new car,276,below_100,employed,male,none,real estate,22,none,rent,1,unskilled,1,none,yes,good
310,no,48,all paid,other,5381,no_savings,unemployed,male,none,no known property,40,bank,for free,1,unemeployed,1,yes,yes,good
311,unchecked,24,all paid,furniture/equipment,5511,below_500,employed,male,none,car,25,stores,own,1,skilled,1,none,yes,good
312,yes,24,all paid,furniture/equipment,3749,below_100,unemployed,female,none,car,26,none,own,1,skilled,1,none,yes,good
313,no,12,all paid,new car,685,below_100,employed,male,none,car,25,bank,own,1,unskilled,1,none,yes,bad
314,yes,4,all paid,new car,1494,no_savings,unemployed,male,none,real estate,29,none,own,1,unskilled,2,none,no,good
315,no,36,all paid,furniture/equipment,2746,below_100,employed,male,none,car,31,bank,own,1,skilled,1,none,yes,bad
316,no,12,all paid,furniture/equipment,708,below_100,employed,male,guarantor,life insurance,38,none,own,1,unskilled,2,none,yes,good
317,no,24,all paid,furniture/equipment,4351,no_savings,employed,female,none,life insurance,48,none,own,1,unskilled,1,yes,yes,good
318,unchecked,12,critical,education,701,below_100,employed,male,none,car,32,none,own,2,skilled,1,none,yes,good
319,no,15,delayed,furniture/equipment,3643,below_100,employed,female,none,life insurance,27,none,own,2,unskilled,1,none,yes,good
320,no,30,critical,new car,4249,below_100,unemployed,male,none,car,28,none,own,2,self_employed,1,none,yes,bad
321,no,24,all paid,radio/tv,1938,below_100,unemployed,male,none,life insurance,32,none,own,1,skilled,1,none,yes,bad
322,no,24,all paid,used car,2910,below_100,employed,male,none,no known property,34,none,for free,1,self_employed,1,yes,yes,good
323,no,18,all paid,furniture/equipment,2659,above_1000,employed,male,none,car,28,none,own,1,skilled,1,none,yes,good
324,unchecked,18,critical,new car,1028,below_100,employed,female,none,real estate,36,none,own,2,skilled,1,none,yes,good
325,no,8,critical,new car,3398,below_100,employed,male,none,real estate,39,none,own,2,unskilled,1,none,no,good
326,unchecked,12,critical,furniture/equipment,5801,no_savings,employed,male,none,life insurance,49,none,rent,1,skilled,1,yes,yes,good
327,unchecked,24,all paid,new car,1525,above_1000,employed,female,none,car,34,none,own,1,skilled,2,yes,yes,good
328,yes,36,all paid,radio/tv,4473,below_100,employed,male,none,car,31,none,own,1,skilled,1,none,yes,good
329,no,6,all paid,radio/tv,1068,below_100,employed,male,none,car,28,none,own,1,skilled,2,none,yes,good
330,no,24,critical,used car,6615,below_100,unemployed,male,none,no known property,75,none,for free,2,self_employed,1,yes,yes,good
331,unchecked,18,critical,education,1864,below_500,employed,female,none,real estate,30,none,own,2,skilled,1,none,yes,bad
332,no,60,all paid,new car,7408,below_500,unemployed,female,none,life insurance,24,none,own,1,self_employed,1,none,yes,bad
333,unchecked,48,critical,used car,11590,below_500,employed,female,none,car,24,bank,rent,2,unskilled,1,none,yes,bad
334,no,24,all paid,furniture/equipment,4110,below_100,employed,male,none,no known property,23,bank,rent,2,skilled,2,none,yes,bad
335,no,6,critical,furniture/equipment,3384,below_100,employed,male,none,real estate,44,none,rent,1,self_employed,1,yes,yes,bad
336,no,13,all paid,radio/tv,2101,below_100,unemployed,female,guarantor,life insurance,23,none,own,1,unskilled,1,none,yes,good
337,no,15,all paid,domestic appliance,1275,no_savings,employed,female,none,car,24,none,rent,1,skilled,1,none,yes,bad
338,no,24,all paid,furniture/equipment,4169,below_100,employed,male,none,life insurance,28,none,own,1,skilled,1,none,yes,good
339,no,10,all paid,furniture/equipment,1521,below_100,employed,male,none,car,31,none,own,1,unskilled,1,none,yes,good
340,no,24,critical,education,5743,below_100,unemployed,female,none,no known property,24,none,for free,2,skilled,1,yes,yes,good
341,no,21,all paid,furniture/equipment,3599,below_100,employed,female,none,car,26,none,rent,1,unskilled,1,none,yes,good
342,no,18,all paid,radio/tv,3213,below_1000,unemployed,male,none,real estate,25,none,rent,1,skilled,1,none,yes,good
343,no,18,all paid,business,4439,below_100,employed,male,co applicant,real estate,33,bank,own,1,self_employed,1,yes,yes,good
344,yes,10,all paid,new car,3949,below_100,unemployed,male,guarantor,life insurance,37,none,own,1,unskilled,2,none,yes,good
345,unchecked,15,critical,radio/tv,1459,below_100,employed,female,none,car,43,none,own,1,unskilled,1,none,yes,good
346,no,13,critical,radio/tv,882,below_100,unemployed,male,guarantor,real estate,23,none,own,2,skilled,1,none,yes,good
347,no,24,all paid,radio/tv,3758,below_1000,unemployed,female,none,no known property,23,none,rent,1,unemeployed,1,none,yes,good
348,unchecked,6,delayed,business,1743,below_500,employed,male,none,real estate,34,none,own,2,unskilled,1,none,yes,good
349,no,9,critical,education,1136,above_1000,employed,male,none,no known property,32,none,for free,2,skilled,2,none,yes,bad
350,unchecked,9,all paid,domestic appliance,1236,below_100,unemployed,female,none,real estate,23,none,rent,1,skilled,1,yes,yes,good
351,no,9,all paid,furniture/equipment,959,below_100,employed,female,none,car,29,none,own,1,skilled,1,none,no,bad
352,unchecked,18,critical,used car,3229,no_savings,unemployed,male,none,no known property,38,none,own,1,self_employed,1,yes,yes,good
353,no,12,all paid,radio/tv,6199,below_100,employed,male,none,life insurance,28,none,rent,2,skilled,1,yes,yes,bad
354,unchecked,10,all paid,education,727,below_1000,employed,male,none,no known property,46,none,for free,1,skilled,1,yes,yes,good
355,no,24,all paid,new car,1246,below_100,unemployed,male,none,real estate,23,stores,own,1,unskilled,1,none,yes,bad
356,unchecked,12,critical,radio/tv,2331,no_savings,employed,male,co applicant,real estate,49,none,own,1,skilled,1,yes,yes,good
357,unchecked,36,delayed,radio/tv,4463,below_100,employed,male,none,car,26,none,own,2,self_employed,1,yes,yes,bad
358,unchecked,12,all paid,radio/tv,776,below_100,employed,male,none,real estate,28,none,own,1,skilled,1,none,yes,good
359,no,30,all paid,furniture/equipment,2406,below_100,employed,female,none,real estate,23,none,rent,1,skilled,1,none,yes,bad
360,no,18,all paid,education,1239,no_savings,employed,male,none,no known property,61,none,for free,1,skilled,1,none,yes,good
361,yes,12,all paid,radio/tv,3399,no_savings,employed,male,none,car,37,none,own,1,self_employed,1,none,yes,good
362,yes,12,delayed,new car,2247,below_100,employed,female,none,car,36,stores,own,2,skilled,1,yes,yes,good
363,unchecked,6,all paid,furniture/equipment,1766,below_100,employed,male,none,life insurance,21,none,rent,1,skilled,1,none,yes,good
364,no,18,all paid,furniture/equipment,2473,below_100,unemployed,male,none,car,25,none,own,1,unemeployed,1,none,yes,bad
365,unchecked,12,all paid,business,1542,below_100,employed,male,none,car,36,none,own,1,skilled,1,yes,yes,good
366,unchecked,18,critical,used car,3850,below_100,employed,male,none,car,27,none,own,2,skilled,1,none,yes,good
367,no,18,all paid,furniture/equipment,3650,below_100,unemployed,female,none,car,22,none,rent,1,skilled,1,none,yes,good
368,no,36,all paid,furniture/equipment,3446,below_100,employed,male,none,car,42,none,own,1,skilled,2,none,yes,bad
369,no,18,all paid,furniture/equipment,3001,below_100,employed,female,none,real estate,40,none,rent,1,skilled,1,none,yes,good
370,unchecked,36,all paid,new car,3079,no_savings,employed,male,none,real estate,36,none,own,1,skilled,1,none,yes,good
371,unchecked,18,critical,radio/tv,6070,below_100,employed,male,none,car,33,none,own,2,skilled,1,yes,yes,good
372,unchecked,10,critical,furniture/equipment,2146,below_100,unemployed,female,none,real estate,23,none,rent,2,skilled,1,none,yes,good
373,unchecked,60,critical,new car,13756,no_savings,employed,male,none,no known property,63,bank,for free,1,self_employed,1,yes,yes,good
374,no,60,all paid,other,14782,below_500,employed,female,none,no known property,60,bank,for free,2,self_employed,1,yes,yes,bad
375,no,48,all paid,business,7685,below_100,employed,female,guarantor,car,37,none,rent,1,skilled,1,none,yes,bad
376,unchecked,18,delayed,radio/tv,2320,below_100,unemployed,male,none,real estate,34,none,own,2,skilled,1,none,yes,good
377,unchecked,7,delayed,radio/tv,846,no_savings,employed,male,none,no known property,36,none,for free,1,skilled,1,none,yes,good
378,no,36,all paid,new car,14318,below_100,employed,male,none,no known property,57,none,for free,1,self_employed,1,yes,yes,bad
379,unchecked,6,critical,new car,362,below_500,employed,female,none,car,52,none,own,2,unskilled,1,none,yes,good
380,no,20,all paid,furniture/equipment,2212,no_savings,employed,male,none,car,39,none,own,1,skilled,1,yes,yes,good
381,no,18,all paid,used car,12976,below_100,unemployed,female,none,no known property,38,none,for free,1,self_employed,1,yes,yes,bad
382,unchecked,22,all paid,new car,1283,no_savings,employed,female,none,life insurance,25,none,rent,1,skilled,1,none,yes,good
383,yes,12,all paid,new car,1330,below_100,unemployed,male,none,real estate,26,none,own,1,skilled,1,none,yes,good
384,unchecked,30,delayed,business,4272,below_500,employed,male,none,life insurance,26,none,own,2,unskilled,1,none,yes,good
385,unchecked,18,critical,radio/tv,2238,below_100,employed,female,none,car,25,none,own,2,skilled,1,none,yes,good
386,unchecked,18,all paid,radio/tv,1126,no_savings,unemployed,female,none,real estate,21,none,rent,1,skilled,1,yes,yes,good
387,no,18,critical,furniture/equipment,7374,below_100,unemployed,male,none,life insurance,40,stores,own,2,self_employed,1,yes,yes,good
388,no,15,critical,business,2326,below_1000,employed,male,none,car,27,bank,own,1,skilled,1,none,yes,good
389,unchecked,9,all paid,business,1449,below_100,employed,female,none,car,27,none,own,2,skilled,1,none,yes,good
390,unchecked,18,all paid,new car,1820,below_100,employed,male,none,life insurance,30,none,own,1,self_employed,1,yes,yes,good
391,no,12,all paid,furniture/equipment,983,above_1000,unemployed,female,none,real estate,19,none,rent,1,unskilled,1,none,yes,good
392,no,36,all paid,new car,3249,below_100,employed,male,none,no known property,39,bank,for free,1,self_employed,2,yes,yes,good
393,no,6,critical,radio/tv,1957,below_100,employed,female,none,car,31,none,own,1,skilled,1,none,yes,good
394,unchecked,9,critical,furniture/equipment,2406,below_100,unemployed,male,none,car,31,none,own,1,self_employed,1,none,yes,good
395,no,39,delayed,education,11760,below_500,employed,male,none,no known property,32,none,rent,1,skilled,1,yes,yes,good
396,no,12,all paid,furniture/equipment,2578,below_100,unemployed,female,none,no known property,55,none,for free,1,self_employed,1,none,yes,good
397,no,36,critical,furniture/equipment,2348,below_100,employed,male,none,life insurance,46,none,own,2,skilled,1,yes,yes,good
398,no,12,all paid,new car,1223,below_100,employed,male,none,real estate,46,none,rent,2,skilled,1,none,yes,bad
399,unchecked,24,critical,radio/tv,1516,above_1000,employed,female,none,real estate,43,none,own,2,unskilled,1,none,yes,good
400,unchecked,18,all paid,radio/tv,1473,below_100,unemployed,male,none,real estate,39,none,own,1,skilled,1,yes,yes,good
401,no,18,critical,business,1887,no_savings,employed,male,none,real estate,28,bank,own,2,skilled,1,none,yes,good
402,unchecked,24,delayed,business,8648,below_100,unemployed,male,none,car,27,bank,own,2,skilled,1,yes,yes,bad
403,unchecked,14,delayed,new car,802,below_100,employed,male,none,car,27,none,own,2,unskilled,1,none,yes,good
404,no,18,delayed,new car,2899,no_savings,employed,male,none,car,43,none,own,1,skilled,2,none,yes,good
405,no,24,all paid,radio/tv,2039,below_100,unemployed,male,none,life insurance,22,none,own,1,skilled,1,yes,yes,bad
406,unchecked,24,critical,used car,2197,no_savings,employed,male,none,car,43,none,own,2,skilled,2,yes,yes,good
407,no,15,all paid,radio/tv,1053,below_100,unemployed,male,none,real estate,27,none,own,1,skilled,1,none,no,good
408,unchecked,24,all paid,radio/tv,3235,below_1000,employed,male,none,car,26,none,own,1,self_employed,1,yes,yes,good
409,yes,12,critical,new car,939,below_1000,employed,male,none,real estate,28,none,own,3,skilled,1,yes,yes,bad
410,no,24,all paid,radio/tv,1967,below_100,employed,female,none,car,20,none,own,1,skilled,1,yes,yes,good
411,unchecked,33,critical,used car,7253,below_100,employed,male,none,car,35,none,own,2,self_employed,1,yes,yes,good
412,unchecked,12,critical,business,2292,below_100,unemployed,male,none,car,42,stores,own,2,self_employed,1,yes,yes,bad
413,unchecked,10,all paid,new car,1597,below_1000,employed,male,none,no known property,40,none,rent,1,unskilled,2,none,no,good
414,no,24,all paid,new car,1381,no_savings,employed,female,none,life insurance,35,none,own,1,skilled,1,none,yes,bad
415,unchecked,36,critical,used car,5842,below_100,employed,male,none,life insurance,35,none,own,2,skilled,2,yes,yes,good
416,no,12,all paid,new car,2579,below_100,unemployed,male,none,real estate,33,none,own,1,unskilled,2,none,yes,bad
417,no,18,delayed,education,8471,no_savings,employed,female,none,car,23,none,rent,2,skilled,1,yes,yes,good
418,unchecked,21,all paid,new car,2782,below_1000,employed,female,none,car,31,bank,own,1,self_employed,1,none,yes,good
419,no,18,all paid,new car,1042,no_savings,employed,female,none,life insurance,33,none,own,1,skilled,1,none,yes,bad
420,unchecked,15,all paid,new car,3186,above_1000,employed,female,none,car,20,none,rent,1,skilled,1,none,yes,good
421,no,12,all paid,used car,2028,no_savings,employed,male,none,car,30,none,own,1,skilled,1,none,yes,good
422,no,12,critical,new car,958,below_100,employed,male,none,real estate,47,none,own,2,unskilled,2,none,yes,good
423,unchecked,21,delayed,furniture/equipment,1591,below_500,employed,male,none,real estate,34,none,own,2,self_employed,1,none,yes,good
424,no,12,all paid,furniture/equipment,2762,no_savings,employed,female,none,life insurance,25,bank,own,1,skilled,1,yes,yes,bad
425,no,18,all paid,used car,2779,below_100,employed,male,none,car,21,none,rent,1,skilled,1,yes,yes,good
426,unchecked,28,critical,radio/tv,2743,below_100,employed,male,none,car,29,none,own,2,skilled,1,none,yes,good
427,unchecked,18,critical,radio/tv,1149,above_1000,employed,male,none,real estate,46,none,own,2,skilled,1,none,yes,good
428,unchecked,9,all paid,furniture/equipment,1313,below_100,employed,male,none,car,20,none,own,1,skilled,1,none,yes,good
429,no,18,critical,repairs,1190,below_100,unemployed,female,none,no known property,55,none,for free,3,unemeployed,2,none,yes,bad
430,unchecked,5,all paid,business,3448,below_100,employed,male,none,real estate,74,none,own,1,unskilled,1,none,yes,good
431,no,24,all paid,other,11328,below_100,employed,male,co applicant,car,29,bank,own,2,self_employed,1,yes,yes,bad
432,no,6,critical,furniture/equipment,1872,below_100,unemployed,male,none,no known property,36,none,for free,3,self_employed,1,yes,yes,good
433,unchecked,24,critical,repairs,2058,below_100,employed,male,none,real estate,33,none,own,2,skilled,1,yes,yes,good
434,no,9,all paid,furniture/equipment,2136,below_100,employed,male,none,real estate,25,none,own,1,skilled,1,none,yes,good
435,no,12,all paid,radio/tv,1484,no_savings,employed,male,none,real estate,25,none,own,1,skilled,1,yes,yes,bad
436,unchecked,6,all paid,repairs,660,below_1000,employed,male,none,real estate,23,none,rent,1,unskilled,1,none,yes,good
437,unchecked,24,critical,new car,1287,above_1000,employed,female,none,real estate,37,none,own,2,skilled,1,yes,yes,good
438,no,42,critical,repairs,3394,below_100,unemployed,male,co applicant,car,65,none,own,2,unemeployed,1,none,yes,good
439,yes,12,all paid,business,609,below_100,unemployed,female,none,real estate,26,none,own,1,unemeployed,1,none,yes,bad
440,unchecked,12,all paid,new car,1884,below_100,employed,male,none,car,39,none,own,1,self_employed,1,yes,yes,good
441,no,12,all paid,furniture/equipment,1620,below_100,employed,female,co applicant,life insurance,30,none,own,1,skilled,1,none,yes,good
442,no,20,delayed,other,2629,below_100,employed,male,none,car,29,bank,own,2,skilled,1,yes,yes,good
443,unchecked,12,all paid,education,719,below_100,employed,male,none,car,41,bank,own,1,unskilled,2,none,yes,bad
444,no,48,critical,furniture/equipment,5096,below_100,employed,female,none,car,30,none,own,1,self_employed,1,yes,yes,bad
445,unchecked,9,critical,education,1244,no_savings,employed,female,none,life insurance,41,none,rent,2,unskilled,1,none,yes,good
446,no,36,all paid,new car,1842,below_100,unemployed,female,none,car,34,none,own,1,skilled,1,yes,yes,bad
447,no,7,all paid,radio/tv,2576,below_100,employed,male,guarantor,real estate,35,none,own,1,skilled,1,none,yes,good
448,yes,12,all paid,furniture/equipment,1424,no_savings,employed,female,none,real estate,55,none,own,1,self_employed,1,yes,yes,good
449,no,15,delayed,repairs,1512,above_1000,employed,male,none,life insurance,61,stores,own,2,skilled,1,none,yes,bad
450,unchecked,36,critical,used car,11054,no_savings,employed,male,none,car,30,none,own,1,self_employed,1,yes,yes,good
451,unchecked,6,all paid,radio/tv,518,below_100,employed,female,none,real estate,29,none,own,1,skilled,1,none,yes,good
452,unchecked,12,all paid,furniture/equipment,2759,below_100,employed,male,none,life insurance,34,none,own,2,skilled,1,none,yes,good
453,unchecked,24,all paid,used car,2670,below_100,employed,male,none,car,35,none,own,1,self_employed,1,yes,yes,good
454,no,24,all paid,new car,4817,below_100,employed,male,co applicant,life insurance,31,none,own,1,skilled,1,yes,yes,bad
455,unchecked,24,all paid,used car,2679,below_100,unemployed,female,none,no known property,29,none,own,1,self_employed,1,yes,yes,good
456,no,11,critical,new car,3905,below_100,employed,male,none,real estate,36,none,rent,2,skilled,2,none,yes,good
457,no,12,all paid,used car,3386,below_100,employed,male,none,no known property,35,none,for free,1,skilled,1,yes,yes,bad
458,no,6,all paid,domestic appliance,343,below_100,unemployed,female,none,real estate,27,none,own,1,skilled,1,none,yes,good
459,unchecked,18,all paid,radio/tv,4594,below_100,unemployed,male,none,car,32,none,own,1,skilled,1,yes,yes,good
460,no,36,all paid,furniture/equipment,3620,below_100,employed,male,guarantor,life insurance,37,none,own,1,skilled,2,none,yes,good
461,no,15,all paid,new car,1721,below_100,unemployed,male,none,real estate,36,none,own,1,skilled,1,none,yes,good
462,no,12,all paid,furniture/equipment,3017,below_100,unemployed,female,none,real estate,34,none,rent,1,self_employed,1,none,yes,good
463,no,12,all paid,retraining,754,no_savings,employed,male,none,life insurance,38,none,own,2,skilled,1,none,yes,good
464,unchecked,18,all paid,business,1950,below_100,employed,male,none,car,34,stores,own,2,skilled,1,yes,yes,good
465,no,24,all paid,used car,2924,below_100,employed,male,guarantor,no known property,63,bank,own,1,skilled,2,yes,yes,good
466,no,24,delayed,radio/tv,1659,below_100,unemployed,female,none,car,29,none,rent,1,unskilled,1,yes,yes,bad
467,unchecked,48,delayed,radio/tv,7238,no_savings,employed,male,none,car,32,bank,own,2,skilled,2,none,yes,good
468,unchecked,33,delayed,business,2764,below_100,employed,female,none,car,26,none,own,2,skilled,1,yes,yes,good
469,unchecked,24,delayed,used car,4679,below_100,employed,male,none,car,35,none,own,2,unskilled,1,yes,yes,good
470,no,24,all paid,radio/tv,3092,below_500,unemployed,male,none,car,22,none,rent,1,skilled,1,yes,yes,bad
471,no,6,all paid,education,448,below_100,unemployed,female,none,life insurance,23,none,own,1,skilled,1,none,yes,bad
472,no,9,all paid,new car,654,below_100,employed,male,none,car,28,none,own,1,unskilled,1,none,yes,bad
473,unchecked,6,all paid,retraining,1238,no_savings,unemployed,male,none,life insurance,36,none,own,1,self_employed,2,yes,yes,good
474,no,18,critical,radio/tv,1245,below_100,employed,male,none,car,33,none,own,1,skilled,1,none,yes,bad
475,no,18,all paid,furniture/equipment,3114,below_100,unemployed,female,none,life insurance,26,none,rent,1,skilled,1,none,yes,bad
476,unchecked,39,all paid,used car,2569,below_1000,employed,male,none,car,24,none,own,1,skilled,1,none,yes,good
477,yes,24,all paid,radio/tv,5152,below_100,employed,male,none,car,25,bank,own,1,skilled,1,none,yes,good
478,no,12,all paid,business,1037,below_500,employed,male,none,real estate,39,none,own,1,unskilled,1,none,yes,good
479,no,15,critical,furniture/equipment,1478,below_100,employed,male,none,car,44,none,own,2,skilled,2,yes,yes,good
480,no,12,critical,radio/tv,3573,below_100,employed,female,none,real estate,23,none,own,1,unskilled,1,none,yes,good
481,no,24,all paid,new car,1201,below_100,unemployed,male,none,life insurance,26,none,own,1,skilled,1,none,yes,good
482,no,30,all paid,furniture/equipment,3622,above_1000,employed,female,none,life insurance,57,none,rent,2,skilled,1,yes,yes,good
483,unchecked,15,delayed,furniture/equipment,960,above_1000,employed,female,none,life insurance,30,none,own,2,skilled,1,none,yes,good
484,unchecked,12,critical,new car,1163,below_1000,employed,male,none,real estate,44,none,own,1,skilled,1,yes,yes,good
485,no,6,delayed,new car,1209,below_100,unemployed,male,none,life insurance,47,none,own,1,self_employed,1,yes,yes,bad
486,unchecked,12,all paid,radio/tv,3077,below_100,employed,male,none,car,52,none,own,1,skilled,1,yes,yes,good
487,unchecked,24,all paid,new car,3757,below_100,employed,female,co applicant,no known property,62,none,for free,1,skilled,1,yes,yes,good
